,Address,Brand,Price,Self,Store,Si
2515,경기 하남시 서하남로 28,SK에너지,1698,N,SK서하남IC주유소,하남시
2516,경기 하남시 서하남로 77,SK에너지,1698,N,서하남고속주유소,하남시
2517,경기 하남시 초광로 75,현대오일뱅크,1728,N,광암에너지주유소,하남시
2518,경기 하남시 서하남로 (감북동),현대오일뱅크,1798,N,서하남배다리주유소,하남시
2519,경기 화성시 팔탄면 시청로 567,GS칼텍스,1475,Y,에이치제이에너지주유소,화성시
2520,경기 화성시 비봉면 양노로 155,알뜰주유소,1477,Y,(주)태오에너지 현명주유소,화성시
2521,경기 화성시 정남면 가장로 405,현대오일뱅크,1485,N,가장공단주유소,화성시
2522,경기 화성시 남양읍 화성로 1472,알뜰주유소,1485,Y,신기알뜰주유소,화성시
2523,경기 화성시 남양읍 화성로 995,현대오일뱅크,1485,Y,이포에너지(주) 우리주유소,화성시
2524,경기 화성시 마도면 두곡서길 58,알뜰주유소,1485,Y,마도알뜰주유소,화성시
2525,경기 화성시 남양읍 화성로 1244,GS칼텍스,1487,Y,(주)해성에너지,화성시
2526,경기 화성시 서신면 궁평항로 1705,NH-OIL,1490,Y,서신농협주유소,화성시
2527,경기 화성시 우정읍 포승향남로 1106,알뜰주유소,1494,N,원더우먼주유소,화성시
2529,경기 화성시 마도면 화성로 570,현대오일뱅크,1495,Y,미소주유소,화성시
2530,경기 화성시 정남면 서봉로 1036,SK에너지,1495,Y,㈜서정산업주유소,화성시
2531,경기 화성시 마도면 화성로 726,SK에너지,1495,Y,지성주유소,화성시
2532,경기 화성시 효행로481번길 14 (안녕동),S-OIL,1495,N,(주)융건주유소,화성시
2533,경기 화성시 마도면 화성로 777,NH-OIL,1495,Y,마도농협주유소,화성시
2534,경기 화성시 마도면 화성로 667,SK에너지,1495,Y,마도IC주유소,화성시
2535,경기 화성시 마도면 마도공단로 149,NH-OIL,1495,Y,마도농협쌍송점주유소,화성시
2536,경기 화성시 남양읍 화성로 1235,현대오일뱅크,1495,N,남양대로주유소,화성시
2538,경기 화성시 송산면 화성로 618,GS칼텍스,1497,Y,대경석유㈜송산마도주유/충전소,화성시
2539,경기 화성시 우정읍 포승향남로 1208,SK에너지,1497,Y,대성유류판매(주)주유소,화성시
2540,경기도 화성시 마도면 화성로 873,GS칼텍스,1497,Y,동양산업(주)마도주유소,화성시
2541,경기 화성시 남양읍 화성로 1515 (북양동),GS칼텍스,1498,Y,(주)영광셀프주유소,화성시
2542,경기 화성시 비봉면 화성로 2087,GS칼텍스,1498,Y,쌍학주유소,화성시
2543,경기 화성시 동탄산단5길 10-44,GS칼텍스,1498,Y,동탄그린주유소,화성시
2544,경기 화성시 팔탄면 서해로 1409-9,SK에너지,1498,Y,주식회사청우에너지,화성시
2545,경기 화성시 서신면 전곡항로 382,알뜰주유소,1498,N,해양산업단지주유소,화성시
2546,경기 화성시 향남읍 발안로 308,GS칼텍스,1499,Y,(주)서진주유소 향남지점,화성시
2547,경기 화성시 남양읍 주석로 353,SK에너지,1499,Y,하이테크에너지(주) 화성하이테크주유소,화성시
2548,경기 화성시 팔탄면 서해로 1380,GS칼텍스,1499,Y,동그라미주유소,화성시
2551,경기 화성시 팔탄면 서해로 1280,S-OIL,1499,Y,구도일주유소 신흥,화성시
2552,경기 화성시 장안면 사랑길 80,S-OIL,1499,Y,사랑리주유소,화성시
2553,경기 화성시 경기동로 378 (장지동),S-OIL,1504,Y,장지IC주유소,화성시
2554,경기 화성시 봉담읍 효행로 268,GS칼텍스,1505,Y,지에스칼텍스 효행로주유소,화성시
2555,경기 화성시 효행로 458 (안녕동),SK에너지,1505,Y,융건릉주유소,화성시
2558,경기 화성시 봉담읍 기배로30번길 36,SK에너지,1505,N,815주유소,화성시
2559,경기 화성시 매송면 매송로 283,SK에너지,1505,Y,현대셀프주유소,화성시
2560,경기 화성시 향남읍 만년로 24,현대오일뱅크,1506,N,향남TG주유소,화성시
2561,경기 화성시 삼성1로 196,NH-OIL,1506,Y,동탄농협주유소,화성시
2562,경기 화성시 정남면 만년로 354,현대오일뱅크,1506,N,정남제일주유소,화성시
2563,경기 화성시 송산면 화성로 246,SK에너지,1507,Y,(주)정도주유소,화성시
2564,경기 화성시 팔탄면 삼천병마로 568,현대오일뱅크,1507,Y,현대오일뱅크㈜직영 팔탄현대셀프주유소,화성시
2565,경기 화성시 만년로 889 (안녕동),GS칼텍스,1509,Y,GS 세마주유소,화성시
2566,경기 화성시 정남면 만년로 552,NH-OIL,1509,N,정남농협주유소,화성시
2567,경기 화성시 정남면 만년로 778-5,현대오일뱅크,1509,Y,대명에너지2,화성시
2568,경기 화성시 향남읍 서봉로 745,S-OIL,1509,Y,서봉주유소,화성시
2570,경기 화성시 경기동로 492 (장지동),현대오일뱅크,1509,N,토리움예운주유소,화성시
2571,경기 화성시 향남읍 3.1만세로 911,GS칼텍스,1509,Y,지에스칼텍스(주)발안IC주유소,화성시
2572,경기도 화성시 팔탄면 3.1만세로 784,SK에너지,1509,Y,㈜효창에너지직영3주유소,화성시
2573,경기 화성시 정남면 만년로 391,GS칼텍스,1510,N,청강신리주유소,화성시
2574,경기 화성시 송산면 평택시흥고속도로25,자가상표,1514,N,(주)부자송산주유소(평택방향),화성시
2575,경기 화성시 송산면 349-25,자가상표,1514,N,송산(시흥방향)주유소,화성시
2576,경기 화성시 팔탄면 삼천병마로 355,S-OIL,1514,N,발안주유소,화성시
2577,경기 화성시 비봉면 서해로 1692,SK에너지,1514,Y,금탑셀프주유소,화성시
2578,경기 화성시 팔탄면 마당바위로 113,현대오일뱅크,1514,N,거창에너지,화성시
2579,경기 화성시 비봉면 비봉로 477,SK에너지,1515,Y,세화주유소,화성시
2580,경기 화성시 향남읍 푸른들판로 324-6,GS칼텍스,1515,Y,한민족주유소,화성시
2582,경기 화성시 경기동로 527,GS칼텍스,1515,Y,주식회사 샤인주유소,화성시
2583,경기 화성시 봉담읍 동화역말길 63,GS칼텍스,1515,Y,지에스칼텍스㈜ 봉담신도시주유소,화성시
2584,경기도 화성시 팔탄면 포승향남로 2978,SK에너지,1515,N,(주)구구에너지 99주유소,화성시
2585,경기 화성시 효행로 420 (안녕동),GS칼텍스,1515,N,(주)일광에너비스 제1주유소,화성시
2586,경기 화성시 팔탄면 서해로 1130,SK에너지,1515,Y,경제주유소,화성시
2587,경기 화성시 향남읍 삼천병마로 276,SK에너지,1515,N,(주)구구에너지직영 88주유소,화성시
2588,경기 화성시 효행로 606,S-OIL,1515,Y,백산주유소,화성시
2589,경기 화성시 마도면 화성로 909,SK에너지,1515,Y,코끼리주유소,화성시
2590,경기 화성시 정남면 발안로 1059,SK에너지,1515,Y,(주)서진주유소 화성지점 공단주유소,화성시
